S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
138,Uttar Pradesh,2018,36868,5295,1989,5568,913,1190,6474,1112,3245,3058,3186,3142,3210,3114,2967,2776,2761,2956,3051,3389,3468,3305,4289,4885,4590,5179,6300,4839,6928,6375,764,8474,22541,2484,5610,640,339,479,4498,14050,1490,3096,528,514,582,207,2074,8491,22541,17912,18943,48.6,22541,28.7,Monsoon,Tropical Wet & Dry,2352.88,15.7
139,Uttarakhand,2018,1855,124,154,396,23,7,260,109,135,111,115,126,130,127,115,124,102,110,124,150,107,138,196,178,175,237,260,178,602,285,0,186,1073,58,71,19,19,28,365,560,74,100,25,45,61,26,182,513,1073,683,786,46.5,1073,24.2,Monsoon,Alpine/Cold,115.18,16.1
140,West Bengal,2018,16109,1738,526,904,226,178,1174,723,1084,914,1046,993,969,1047,1006,904,880,973,981,1030,979,1137,1379,1720,1795,1794,1688,1335,2004,1405,63,1997,5469,186,953,51,51,126,1992,3359,137,693,49,88,195,112,836,2110,5469,5139,6688,43.5,5469,21.5,Monsoon,Heavy Rainfall,1004.07,16.0
141,Andaman and Nicobar Islands,2019,198,0,1,0,0,0,13,6,17,14,29,25,14,23,22,14,15,18,20,19,9,3,26,39,42,43,42,26,7,5,0,8,20,1,5,1,0,0,6,13,2,3,1,0,0,0,1,7,20,80,150,34.8,20,65.0,Monsoon,Coastal/Humid,3.97,49.9
142,Andhra Pradesh,2019,17938,1043,469,1298,277,729,3012,1156,1783,1655,1772,1799,1821,1795,1688,1721,1463,1595,1698,1887,858,1206,2311,2864,3261,3679,4425,2073,2997,2080,0,2907,7984,443,1147,218,212,98,2976,5094,167,824,178,220,80,192,1229,2890,7984,8562,12115,41.4,7984,37.7,Monsoon,Tropical Wet & Dry,495.63,36.2
143,Arunachal Pradesh,2019,275,32,0,37,3,1,30,6,25,17,12,19,9,17,22,12,11,17,17,22,12,12,17,24,24,52,43,16,37,38,0,34,109,4,10,1,0,0,50,65,5,11,0,2,0,0,26,44,109,83,117,41.5,109,27.5,Winter,Alpine/Cold,15.84,17.4
144,Assam,2019,5436,299,285,894,41,187,1362,177,748,748,752,648,677,673,566,581,661,658,655,688,443,548,958,1481,1244,1420,1122,839,1479,717,0,1049,3245,318,1168,164,272,32,6,1960,252,626,134,141,132,0,0,1285,3245,2952,5103,36.6,3245,42.0,Monsoon,Heavy Rainfall,351.07,15.5
145,Bihar,2019,15211,1116,551,1177,262,561,2981,557,898,807,928,806,1054,1014,748,746,592,698,893,823,566,1665,1627,1630,1201,1485,1255,578,3403,1854,0,1948,7205,569,2900,254,153,73,142,4091,345,1604,177,418,281,168,121,3114,7205,4064,5943,40.6,7205,41.4,Monsoon,Tropical Wet & Dry,1239.26,12.3
146,Chandigarh,2019,414,2,0,2,0,7,46,47,30,21,22,22,25,26,25,36,14,27,29,27,16,7,46,36,39,43,65,52,13,0,0,91,104,0,2,1,0,0,3,6,2,8,3,8,6,0,71,98,104,140,164,46.1,104,44.2,Monsoon,Hot & Dry,11.58,35.8
147,Chhattisgarh,2019,19789,689,135,548,268,60,2499,804,1389,1236,1122,1236,1273,1178,1172,1025,999,1094,1127,1048,563,632,1515,2107,2226,2598,2882,1376,1455,1146,0,2402,5003,136,1337,42,14,35,2079,3643,42,526,41,13,69,23,646,1360,5003,5453,8446,39.2,5003,50.0,Monsoon,Tropical Wet & Dry,292.36,67.7
148,Dadra and Nagar Haveli and Daman and Diu,2019,272,30,1,12,2,6,19,8,10,12,13,14,11,13,10,10,13,12,6,7,9,3,6,8,24,32,25,24,0,28,0,50,78,6,26,4,4,18,3,61,1,11,0,0,5,0,0,17,78,61,70,46.6,78,24.4,Monsoon,Coastal/Humid,6.86,39.7
149,Delhi,2019,4919,154,70,417,8,55,455,349,524,469,522,445,480,485,469,412,422,455,469,449,521,482,645,708,669,735,946,895,271,187,0,1050,1508,5,47,1,2,9,44,108,26,289,26,15,38,78,928,1400,1508,2844,2757,50.8,1508,30.2,Monsoon,Hot & Dry,190.14,25.9
150,Goa,2019,795,7,4,29,0,2,207,50,329,298,305,282,313,270,231,252,235,281,293,351,245,150,306,528,563,595,635,418,121,29,0,149,299,8,135,15,11,2,63,234,4,19,3,5,9,4,21,65,299,1448,1992,42.1,299,69.2,Monsoon,Heavy Rainfall,15.86,50.1
151,Gujarat,2019,23910,962,257,1573,157,409,2991,1079,1663,1580,1544,1395,1560,1357,1206,1136,1067,1310,1254,1431,906,808,1643,2586,2576,2750,3396,1838,1942,2164,42,3280,7428,269,1722,195,59,300,2939,5484,213,492,114,55,313,95,662,1944,7428,6948,9555,42.1,7428,40.3,Monsoon,Hot & Dry,709.04,33.7
152,Haryana,2019,15639,763,199,1104,171,130,1210,1692,963,809,991,919,932,875,923,888,855,915,926,941,740,927,1281,1477,1552,1738,1946,1276,1829,1274,104,2062,5269,241,755,122,56,281,2039,3494,116,235,64,61,226,223,850,1775,5269,4889,6048,44.7,5269,23.0,Monsoon,Hot & Dry,283.57,55.2
153,Himachal Pradesh,2019,3256,103,115,547,34,1,271,53,240,167,250,254,255,292,233,252,228,257,232,236,136,91,220,372,430,575,679,393,451,211,0,462,1124,68,563,68,27,60,16,802,49,155,41,19,28,24,6,322,1124,1299,1597,44.9,1124,24.1,Monsoon,Alpine/Cold,73.31,44.4
154,Jammu and Kashmir,2019,1451,105,113,319,30,12,201,229,452,293,440,503,535,592,639,406,435,555,517,428,191,250,531,1088,1182,1145,935,473,364,118,0,527,1009,28,244,16,5,20,425,738,14,77,11,0,9,5,155,271,1009,1849,3946,31.9,1009,19.9,Monsoon,Alpine/Cold,133.06,10.9
155,Jharkhand,2019,7703,422,178,849,32,251,1949,120,465,486,440,447,428,485,465,396,371,414,396,424,317,499,708,828,837,804,809,415,1511,987,66,1237,3801,247,744,293,356,278,121,2039,223,657,178,234,337,39,94,1762,3801,2040,3177,39.1,3801,51.3,Monsoon,Tropical Wet & Dry,382.93,20.1
156,Karnataka,2019,25451,963,559,1983,214,534,4946,1752,3696,3512,3550,3583,3730,3599,3029,2895,2901,3168,3361,3620,1870,2052,4319,6026,6590,7164,8197,4426,3826,3179,0,3946,10951,198,582,82,52,183,6428,7525,232,651,58,134,237,72,2042,3426,10951,16545,24099,40.7,10951,45.2,Monsoon,Tropical Wet & Dry,673.62,37.8
157,Kerala,2019,13763,271,233,489,4,229,2115,1029,3772,3558,3377,3301,3653,3246,3144,2825,2985,3268,3352,3463,1063,1394,4866,7312,6199,7862,7962,3286,1290,1040,0,2040,4370,249,1121,284,92,62,1046,2854,175,661,169,99,61,90,261,1516,4370,13705,26239,34.3,4370,48.4,Monsoon,Heavy Rainfall,354.99,38.8
158,Lakshadweep,2019,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,Winter,Coastal/Humid,0.73,6.8
159,Madhya Pradesh,2019,42431,1625,587,2440,701,330,4732,1441,5205,4365,4385,4368,5054,4661,4067,3788,3500,4080,4268,3900,2720,2467,4936,7616,8884,9284,9767,5967,3165,3299,0,5392,11856,357,2735,301,205,304,3838,7740,475,1445,243,170,268,73,1442,4116,11856,20921,30720,40.5,11856,39.9,Monsoon,Tropical Wet & Dry,853.58,49.7
160,Maharashtra,2019,70329,1812,460,2437,286,507,7137,1969,2623,2429,2588,2303,2672,2348,2117,1899,1850,1772,2274,2411,2047,2040,2694,3771,4107,4509,4801,3317,5083,3813,167,5545,14608,328,3057,344,255,390,5693,10067,329,2205,132,189,246,168,1272,4541,14608,12205,15081,44.7,14608,48.9,Monsoon,Tropical Wet & Dry,1242.21,56.6
161,Manipur,2019,309,32,2,38,0,6,48,30,60,51,58,50,63,67,55,54,45,51,43,75,14,16,81,101,127,127,143,63,111,35,0,10,156,11,70,5,10,8,13,117,6,21,3,1,2,3,3,39,156,236,436,35.1,156,30.8,Monsoon,Heavy Rainfall,32.37,9.5
162,Meghalaya,2019,476,41,6,64,1,10,46,8,25,24,21,20,22,16,15,20,21,21,13,18,17,22,25,28,33,39,36,36,104,24,0,48,176,9,90,15,0,17,8,139,7,26,1,2,0,0,1,37,176,111,125,47.0,176,26.1,Monsoon,Heavy Rainfall,32.11,14.8
163,Mizoram,2019,171,13,2,28,0,1,19,0,3,7,5,4,4,3,4,5,5,5,5,7,3,7,3,9,4,12,9,10,25,29,0,9,63,2,28,0,0,0,0,30,1,31,1,0,0,0,0,33,63,29,28,50.9,63,30.2,Winter,Heavy Rainfall,12.39,13.8
164,Nagaland,2019,63,13,0,4,0,0,5,0,2,1,2,3,3,3,3,1,1,3,1,3,0,1,3,6,5,5,5,1,11,3,0,8,22,0,3,0,0,0,9,12,0,6,0,0,1,0,3,10,22,7,19,26.9,22,22.7,Summer,Heavy Rainfall,21.89,2.9
165,Odisha,2019,16459,630,260,672,51,217,2311,1192,1092,932,1036,887,952,903,886,816,709,874,942,1035,1023,1193,1399,1367,1359,1456,1485,1782,2107,1483,64,1679,5333,64,329,36,70,47,2656,3202,492,88,24,34,48,19,1426,2131,5333,5483,5581,49.6,5333,43.3,Monsoon,Tropical Wet & Dry,463.56,35.5
166,Puducherry,2019,1103,1,5,12,0,0,62,67,127,105,118,108,114,125,118,125,124,111,105,112,180,185,180,190,201,190,114,152,120,19,0,8,147,53,45,0,0,0,22,120,0,0,0,0,0,0,27,27,147,631,761,45.3,147,42.2,Monsoon,Coastal/Humid,16.73,65.9
167,Punjab,2019,11048,460,224,1301,91,108,1743,686,530,459,534,544,501,537,442,494,526,634,593,522,347,414,705,824,867,967,1215,977,1670,1146,15,1782,4613,242,1058,167,148,302,920,2837,263,629,168,117,193,65,341,1776,4613,2953,3363,46.8,4613,37.8,Monsoon,Hot & Dry,303.57,36.4
168,Rajasthan,2019,28697,1477,527,2746,386,231,3504,1692,2188,1833,2050,1958,2337,2239,2007,1745,1671,1833,1954,1663,1048,1200,2503,3395,4022,4702,4369,2239,3891,2004,91,4577,10563,189,1357,77,21,267,5914,7825,179,637,95,46,364,101,1316,2738,10563,8856,14622,37.7,10563,33.2,Monsoon,Hot & Dry,815.03,35.2
169,Sikkim,2019,295,18,0,52,0,0,10,4,20,7,17,14,14,8,8,14,19,13,15,23,5,6,11,28,37,33,41,11,27,25,0,32,84,2,25,1,0,2,30,60,0,7,3,0,1,0,13,24,84,63,109,36.6,84,11.9,Winter,Alpine/Cold,6.91,42.7
170,Tamil Nadu,2019,22404,1663,1135,1804,119,296,3537,1971,5173,4749,5122,4776,4962,5209,4813,4767,4626,4708,4262,4061,2008,2781,6768,8190,8109,9971,13143,6258,3921,3423,0,3181,10525,600,1436,570,832,676,2794,6908,348,632,234,316,427,1044,616,3617,10525,24190,33038,42.3,10525,33.6,Monsoon,Tropical Wet & Dry,772.34,29.0
171,Telangana,2019,11720,855,315,1287,243,668,3185,411,1800,1757,2011,1824,1979,1928,1790,1602,1353,1695,1864,1967,1124,991,2227,3105,3260,4131,4489,2243,2384,958,0,3622,6964,191,669,152,329,213,2501,4055,354,506,359,439,354,258,639,2909,6964,8847,12723,41.0,6964,45.7,Monsoon,Tropical Wet & Dry,384.67,30.5
172,Tripura,2019,707,38,6,41,0,20,86,48,70,62,47,38,59,54,50,55,50,50,63,57,13,8,59,128,133,149,114,51,105,70,0,64,239,12,88,6,5,4,44,159,6,38,8,0,6,0,22,80,239,186,469,28.4,239,36.0,Monsoon,Heavy Rainfall,40.99,17.2
173,Uttar Pradesh,2019,40596,5272,1957,5818,806,1518,6431,1483,3570,3160,3347,2995,3462,3345,2858,2761,2574,2829,3279,3357,3612,3701,4401,4953,4962,5476,5823,4609,7187,6385,761,8952,23285,1980,4791,787,465,565,5041,13629,1611,3384,1016,498,622,223,2302,9656,23285,17745,19792,47.3,23285,27.6,Monsoon,Tropical Wet & Dry,2352.88,17.3
174,Uttarakhand,2019,1886,157,69,247,32,16,266,80,121,117,104,97,128,137,123,108,85,101,101,130,115,116,152,185,209,202,200,173,339,234,0,294,867,57,269,52,43,48,17,486,36,210,23,46,47,1,18,381,867,604,748,44.7,867,30.7,Monsoon,Alpine/Cold,115.18,16.4
175,West Bengal,2019,15985,1569,467,989,232,180,1318,969,935,965,947,904,951,932,1142,1018,1015,1129,1106,1189,944,992,1345,1821,1742,1990,1979,1420,1967,1617,79,2061,5724,180,1150,35,51,114,2233,3763,143,736,41,61,99,153,728,1961,5724,5335,6898,43.6,5724,23.0,Monsoon,Heavy Rainfall,1004.07,15.9
176,Andaman and Nicobar Islands,2020,213,1,0,1,0,0,8,4,27,21,12,0,14,10,12,3,11,10,8,13,1,3,10,14,28,29,41,15,8,3,0,3,14,0,4,1,0,0,5,10,0,2,0,0,0,0,2,4,14,60,81,42.6,14,57.1,Winter,Coastal/Humid,3.97,53.7
177,Andhra Pradesh,2020,14653,398,63,602,95,559,3714,1608,1888,1894,1522,485,1044,1338,1235,1410,1578,1749,1862,1919,483,966,2242,2776,2748,3476,3793,1440,2858,1704,0,2477,7039,276,1383,158,267,152,3037,5273,157,668,55,91,74,76,645,1766,7039,6682,11242,37.3,7039,52.8,Winter,Tropical Wet & Dry,495.63,29.6
178,Arunachal Pradesh,2020,354,29,0,28,1,0,27,5,19,20,17,4,9,4,10,4,6,16,23,27,7,4,15,22,24,34,34,19,33,34,0,23,90,2,14,0,0,0,55,71,6,0,0,0,4,0,9,19,90,64,95,40.3,90,30.0,Winter,Alpine/Cold,15.84,22.3
179,Assam,2020,4913,252,120,620,31,107,1441,242,832,824,658,148,358,513,407,446,507,617,680,747,495,577,726,1205,1114,1087,915,618,1370,633,67,743,2813,293,875,138,134,88,24,1552,229,509,97,240,163,11,12,1261,2813,2605,4132,38.7,2813,51.2,Winter,Heavy Rainfall,351.07,14.0
180,Bihar,2020,14474,898,402,1099,243,652,2830,574,781,866,731,404,523,792,660,679,753,674,803,973,422,837,1100,1599,1093,1829,1178,581,3061,1902,0,1735,6698,603,2267,262,108,28,343,3611,562,1315,299,433,196,98,184,3087,6698,3018,5621,34.9,6698,42.3,Monsoon,Tropical Wet & Dry,1239.26,11.7
181,Chandigarh,2020,323,1,0,3,0,0,23,26,17,17,11,4,9,7,16,17,12,18,14,15,8,6,15,12,14,24,40,38,6,0,0,47,53,3,3,1,0,0,0,7,4,3,4,0,3,6,26,46,53,92,65,58.6,53,43.4,Monsoon,Hot & Dry,11.58,27.9
182,Chhattisgarh,2020,20057,355,53,473,176,47,2694,818,1382,1269,951,309,716,932,957,923,875,1027,1170,1163,598,738,1225,1808,2083,2228,2082,912,1469,943,0,2204,4616,138,1191,56,18,68,1981,3452,78,404,34,23,50,54,521,1164,4616,4330,7344,37.1,4616,58.4,Winter,Tropical Wet & Dry,292.36,68.6
183,Dadra and Nagar Haveli and Daman and Diu,2020,255,16,0,8,1,0,32,7,14,9,3,2,5,6,9,9,10,11,11,9,3,2,8,10,16,22,17,20,0,18,0,46,64,10,29,0,8,5,1,53,2,4,1,3,0,1,0,11,64,42,56,42.9,64,50.0,Monsoon,Coastal/Humid,6.86,37.2
184,Delhi,2020,4116,106,30,310,2,51,489,208,492,407,390,99,171,261,356,371,382,472,380,406,446,340,470,558,454,533,655,731,216,54,5,921,1196,7,16,4,0,1,14,42,63,385,42,14,44,23,583,1154,1196,2172,2015,51.9,1196,40.9,Monsoon,Hot & Dry,190.14,21.6
185,Goa,2020,611,7,0,18,0,1,163,35,341,317,196,83,156,156,129,144,156,183,242,272,175,95,208,372,338,413,463,311,75,34,0,115,224,5,99,13,2,9,44,172,1,22,6,16,1,0,6,52,224,1044,1331,44.0,224,72.8,Winter,Heavy Rainfall,15.86,38.5
186,Gujarat,2020,20799,678,103,1224,75,359,2780,981,1536,1538,1231,347,667,956,959,972,1087,1284,1377,1453,777,808,1476,2035,2207,2272,2616,1216,1724,1952,28,2496,6200,261,1295,201,63,396,2423,4639,181,548,87,130,231,126,258,1561,6200,5417,7990,40.4,6200,44.8,Winter,Hot & Dry,709.04,29.3
187,Haryana,2020,14849,562,85,914,145,63,1357,1505,894,939,774,215,511,742,803,850,830,995,974,979,547,800,1110,1216,1299,1453,1876,1205,1489,976,108,2058,4631,182,734,107,75,99,1853,3050,85,283,40,47,149,132,845,1581,4631,4428,5078,46.6,4631,29.3,Monsoon,Hot & Dry,283.57,52.4
188,Himachal Pradesh,2020,2751,126,21,417,32,4,231,33,189,190,173,48,118,138,224,217,213,280,222,223,101,47,190,283,292,471,545,306,356,123,0,385,864,50,450,48,28,50,25,651,27,130,17,10,18,3,8,213,864,999,1236,44.7,864,26.7,Monsoon,Alpine/Cold,73.31,37.5
189,Jammu and Kashmir,2020,1305,121,85,251,26,8,173,99,366,445,363,149,327,397,428,480,484,566,540,455,99,156,618,941,1051,1049,797,289,286,94,0,383,763,18,170,13,2,22,293,518,11,63,8,2,10,19,132,245,763,1341,3659,26.8,763,22.7,Monsoon,Alpine/Cold,133.06,9.8
190,Jharkhand,2020,6890,301,110,579,37,122,1736,159,429,466,405,92,183,397,312,339,351,426,483,522,213,266,575,827,817,698,664,345,1176,1011,0,857,3044,247,583,323,379,217,207,1956,173,359,132,183,139,73,29,1088,3044,1488,2917,33.8,3044,57.0,Winter,Tropical Wet & Dry,382.93,18.0
191,Karnataka,2020,24398,611,177,1592,87,315,4993,1985,3774,3651,3026,804,2260,2660,2332,2797,2844,2996,3356,3678,1835,1921,3459,5098,5630,5774,6914,3547,3330,2899,0,3531,9760,285,1278,191,85,210,5274,7323,147,507,104,114,127,65,1373,2437,9760,14217,19961,41.6,9760,51.2,Winter,Tropical Wet & Dry,673.62,36.2
192,Kerala,2020,12981,191,62,317,5,143,1585,674,3991,3776,2881,447,1368,2022,1755,1740,2005,2312,2595,2907,630,958,3517,5141,4216,5635,5690,2012,864,724,0,1389,2977,118,700,171,64,50,852,1955,109,505,74,59,61,57,157,1022,2977,9290,18509,33.4,2977,53.2,Winter,Heavy Rainfall,354.99,36.6
193,Lakshadweep,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,Monsoon,Coastal/Humid,0.73,4.1
194,Madhya Pradesh,2020,40518,1335,395,2406,578,257,5182,1512,4521,4335,3505,852,2100,3534,3497,3465,3561,4131,4599,4296,1994,1731,3672,5860,7190,7994,9008,4947,3001,2948,0,5716,11665,421,2493,266,254,251,4037,7722,345,1500,233,182,258,110,1315,3943,11665,17680,24716,41.7,11665,44.4,Monsoon,Tropical Wet & Dry,853.58,47.5
195,Maharashtra,2020,57806,1764,269,1822,255,411,5877,1620,2540,2389,1945,584,1201,1516,1407,1635,1720,2139,2355,2780,1442,1299,2301,3058,3369,3712,4365,2665,3334,3365,60,5259,12018,255,2143,201,53,297,5172,8121,558,1563,243,160,300,123,950,3897,12018,9771,12440,44.0,12018,48.9,Winter,Tropical Wet & Dry,1242.21,46.5
196,Manipur,2020,288,30,0,23,0,3,39,32,56,64,53,12,28,23,33,20,30,27,43,43,8,5,52,71,71,95,91,39,90,16,0,21,127,9,45,0,8,0,34,96,8,10,0,7,0,5,1,31,127,143,289,33.1,127,30.7,Winter,Heavy Rainfall,32.37,8.9
197,Meghalaya,2020,491,34,7,41,0,2,31,23,28,22,16,3,12,14,11,8,16,16,25,34,15,14,18,24,26,29,42,37,80,9,0,49,138,3,30,24,1,0,32,90,5,30,1,2,1,0,9,48,138,108,97,52.7,138,22.5,Winter,Heavy Rainfall,32.11,15.3
198,Mizoram,2020,195,12,0,20,0,0,21,0,7,6,3,2,2,1,4,2,3,2,5,10,2,1,5,11,8,7,5,8,26,21,0,6,53,3,23,4,0,1,0,31,4,17,1,0,0,0,0,22,53,16,31,34.0,53,39.6,Winter,Heavy Rainfall,12.39,15.7
199,Nagaland,2020,74,14,0,11,0,0,2,0,3,0,5,1,3,3,1,1,1,0,5,4,1,1,1,2,6,9,3,4,11,9,0,7,27,1,11,0,0,0,3,15,0,10,2,0,0,0,0,12,27,9,18,33.3,27,7.4,Summer,Heavy Rainfall,21.89,3.4
200,Odisha,2020,18888,355,93,492,29,159,2391,1219,1056,956,801,265,583,757,725,736,844,934,971,1189,480,646,947,1426,1646,1885,1849,938,1760,1245,31,1702,4738,87,421,162,140,114,1469,2393,76,372,124,217,205,22,1329,2345,4738,3913,5904,39.9,4738,50.5,Winter,Tropical Wet & Dry,463.56,40.7
201,Puducherry,2020,882,2,5,13,0,0,57,68,132,133,98,17,35,63,66,65,92,86,86,96,112,123,106,121,130,115,130,132,123,17,0,5,145,40,34,0,0,0,13,87,0,0,0,0,0,0,58,58,145,497,472,51.3,145,39.3,Winter,Coastal/Humid,16.73,52.7
202,Punjab,2020,9573,336,97,1042,62,120,1555,704,491,507,415,146,318,357,437,401,443,554,599,505,348,494,620,737,638,742,986,608,1409,940,20,1547,3916,210,852,161,75,233,664,2195,209,648,140,163,213,123,225,1721,3916,2436,2737,47.1,3916,39.7,Monsoon,Hot & Dry,303.57,31.5
203,Rajasthan,2020,22384,1417,390,2209,365,174,3266,1431,1945,2044,1646,369,941,1468,1667,1621,1671,1853,1982,1914,758,893,2106,2830,3043,3647,3742,2102,3289,1806,28,4129,9252,191,1031,74,52,228,5159,6735,116,414,62,67,243,98,1517,2517,9252,7495,11626,39.2,9252,35.3,Monsoon,Hot & Dry,815.03,27.5
204,Sikkim,2020,299,7,0,29,0,0,6,0,17,12,11,1,7,5,6,6,4,14,12,13,6,1,14,17,17,17,19,17,11,9,0,22,42,1,13,1,0,0,13,28,3,7,0,0,0,0,4,14,42,43,65,39.8,42,14.3,Winter,Alpine/Cold,6.91,43.3
205,Tamil Nadu,2020,18390,510,230,1129,80,338,3970,1802,4675,4407,3790,688,2373,2985,3323,4275,4577,4799,4828,4764,1906,2060,5186,6864,6853,7751,10751,4113,3027,2515,0,2517,8059,424,1199,307,442,406,1779,4557,391,760,254,371,504,483,739,3502,8059,18830,26654,41.4,8059,49.3,Monsoon,Tropical Wet & Dry,772.34,23.8
206,Telangana,2020,11822,518,194,847,278,440,3963,642,2005,2078,1595,454,1279,1349,1418,1461,1535,1694,2030,2274,1299,1240,1912,2460,2797,3479,3988,1997,2496,791,40,3555,6882,64,569,87,80,93,2840,3733,267,844,504,335,346,183,670,3149,6882,8524,10648,44.5,6882,57.6,Winter,Tropical Wet & Dry,384.67,30.7
207,Tripura,2020,694,20,1,26,0,6,86,53,58,56,50,8,24,35,28,30,39,40,40,58,8,4,46,99,85,110,70,44,78,67,0,47,192,10,73,6,4,2,27,122,6,50,1,0,0,0,13,70,192,126,340,27.0,192,44.8,Winter,Heavy Rainfall,40.99,16.9
208,Uttar Pradesh,2020,31691,4606,725,5098,614,933,5735,1326,3028,2938,2260,1039,1680,2092,2143,2366,2332,2612,3027,3136,2472,2755,3208,3967,3619,4336,4894,3402,6137,5324,711,6865,19037,1539,4045,674,318,590,4775,11941,1035,2581,651,329,681,0,1819,7096,19037,13523,15130,47.2,19037,30.1,Winter,Tropical Wet & Dry,2352.88,13.5
