S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
209,Uttarakhand,2020,1663,52,7,190,10,13,298,123,118,108,88,12,49,65,74,79,105,109,108,135,76,79,105,137,177,178,180,118,367,131,0,195,693,13,57,2,25,4,260,361,12,48,2,32,1,0,237,332,693,453,597,43.1,693,43.0,Winter,Alpine/Cold,115.18,14.4
210,West Bengal,2020,14794,1328,374,983,119,129,1374,864,1214,1155,1028,257,408,740,830,844,952,1147,1152,1116,781,813,1199,1709,1714,1793,1740,1094,1715,1507,71,1878,5171,99,984,56,32,76,1953,3200,107,536,35,46,94,128,1025,1971,5171,4428,6415,40.8,5171,26.6,Winter,Heavy Rainfall,1004.07,14.7
211,Andaman and Nicobar Islands,2021,210,0,1,1,0,1,10,9,14,9,13,11,6,3,13,10,10,3,11,14,3,3,6,11,20,31,25,18,6,4,0,12,22,0,5,0,0,0,5,10,3,4,0,1,0,0,4,12,22,49,68,41.9,22,45.5,Winter,Coastal/Humid,3.97,52.9
212,Andhra Pradesh,2021,16044,523,146,652,218,644,4166,1837,2120,1845,1906,1703,1233,1594,1792,1968,1815,1924,1649,2007,780,1126,2337,3324,3416,4125,4522,1926,3602,1904,0,2680,8186,254,1576,268,268,276,3747,6389,164,567,90,110,108,131,627,1797,8186,8354,13202,38.8,8186,50.9,Monsoon,Tropical Wet & Dry,495.63,32.4
213,Arunachal Pradesh,2021,391,33,3,77,3,8,33,16,24,29,19,24,14,15,14,20,25,27,19,31,10,6,41,42,40,62,43,17,59,56,0,58,173,7,21,1,0,0,80,109,13,13,3,0,1,1,33,64,173,76,185,29.1,173,19.1,Winter,Alpine/Cold,15.84,24.7
214,Assam,2021,4524,256,144,569,30,127,1299,589,687,757,709,648,488,393,426,520,526,605,665,645,377,551,820,1187,1034,1323,1014,763,1586,724,0,704,3014,324,855,149,40,90,32,1490,262,638,136,147,222,100,19,1524,3014,2705,4364,38.3,3014,43.1,Winter,Heavy Rainfall,351.07,12.9
215,Bihar,2021,15405,126,71,504,65,405,2657,3832,848,888,839,835,795,811,724,689,732,752,817,823,242,1357,1414,1526,1363,1508,1497,646,3493,1777,0,2390,7660,138,281,264,83,58,652,1476,361,976,317,425,150,2797,1158,6184,7660,3742,5811,39.2,7660,34.7,Monsoon,Tropical Wet & Dry,1239.26,12.4
216,Chandigarh,2021,379,0,1,6,0,17,47,25,20,16,23,15,11,13,19,18,19,16,15,23,22,7,16,28,18,31,42,44,21,0,0,75,96,0,2,0,1,2,0,5,5,4,2,12,4,1,63,91,96,115,93,55.3,96,49.0,Monsoon,Hot & Dry,11.58,32.7
217,Chhattisgarh,2021,17525,330,37,361,175,205,2795,1510,1493,1319,1246,589,523,929,1052,1090,1005,1057,1068,1024,546,810,1047,1807,2224,2415,2480,1066,1665,1092,0,2656,5413,167,1201,58,14,59,2352,3851,80,504,27,13,56,108,774,1562,5413,4902,7493,39.5,5413,51.6,Monsoon,Tropical Wet & Dry,292.36,59.9
218,Dadra and Nagar Haveli and Daman and Diu,2021,274,0,0,3,4,0,48,21,14,15,16,7,7,6,9,9,16,11,7,23,4,3,14,9,22,25,37,26,0,37,0,39,76,9,35,1,0,10,6,61,1,6,1,0,0,1,6,15,76,70,70,50.0,76,63.2,Winter,Coastal/Humid,6.86,39.9
219,Delhi,2021,3185,71,30,278,7,121,453,279,395,374,481,307,243,368,365,432,405,423,442,485,577,371,517,550,540,661,804,700,232,126,5,876,1239,6,32,3,2,1,23,67,54,270,36,6,127,63,616,1172,1239,2452,2268,51.9,1239,36.6,Monsoon,Hot & Dry,190.14,16.8
220,Goa,2021,596,6,0,29,0,0,151,40,301,235,285,210,131,169,199,212,227,252,287,342,237,164,263,402,453,463,521,347,93,32,0,101,226,11,103,10,4,10,42,180,1,25,6,2,7,0,5,46,226,1269,1581,44.5,226,66.8,Winter,Heavy Rainfall,15.86,37.6
221,Gujarat,2021,22052,534,111,1113,86,522,3535,1556,1459,1308,1446,1005,990,1232,1198,1271,1159,1343,1379,1410,798,663,1622,2372,2416,2598,3114,1617,2017,2543,33,2864,7457,241,1622,228,119,288,3057,5555,182,637,60,28,277,252,466,1902,7457,6192,9008,40.7,7457,47.4,Monsoon,Hot & Dry,709.04,31.1
222,Haryana,2021,15492,374,65,700,217,126,1917,1584,810,830,949,876,515,787,812,779,802,1018,949,922,777,835,1166,1168,1239,1547,1955,1362,1846,885,126,2126,4983,141,483,66,50,146,1570,2456,115,397,50,51,162,332,1420,2527,4983,4929,5120,49.0,4983,38.5,Monsoon,Hot & Dry,283.57,54.6
223,Himachal Pradesh,2021,3003,123,23,536,34,5,261,50,209,175,197,205,107,173,213,221,196,254,240,218,122,55,246,315,335,449,574,312,388,137,0,507,1032,31,578,25,23,63,28,748,34,180,13,33,13,6,5,284,1032,1063,1345,44.1,1032,25.3,Monsoon,Alpine/Cold,73.31,41.0
224,Jammu and Kashmir,2021,1539,89,62,293,22,28,198,168,349,389,491,454,395,492,559,524,527,504,523,432,132,164,589,1096,1305,1107,882,364,397,120,1,342,860,30,175,9,8,24,282,528,17,71,13,0,8,14,209,332,860,1542,4097,27.3,860,23.0,Monsoon,Alpine/Cold,133.06,11.6
225,Jharkhand,2021,7369,335,76,494,64,393,1599,552,430,445,383,352,341,371,365,394,365,415,419,448,307,512,639,730,679,783,686,392,1106,1060,0,1347,3513,321,813,248,279,289,98,2048,242,508,140,244,227,95,9,1465,3513,1897,2831,40.1,3513,45.5,Monsoon,Tropical Wet & Dry,382.93,19.2
226,Karnataka,2021,25278,616,173,1311,157,334,5021,2426,3602,3177,3512,2898,1537,2072,2584,2859,2875,2966,3122,3443,1909,1990,3674,5117,5560,5983,6684,3730,3490,2758,0,3790,10038,252,955,275,288,293,5173,7236,249,531,110,96,258,188,1370,2802,10038,14313,20334,41.3,10038,50.0,Monsoon,Tropical Wet & Dry,673.62,37.5
227,Kerala,2021,13886,186,79,323,2,188,1811,840,3562,3324,3431,3095,1041,1502,2097,2421,2616,2894,3104,3672,718,1167,3882,6099,5327,6308,6765,2493,1021,877,0,1531,3429,164,1134,186,181,58,488,2211,95,458,112,79,77,60,337,1218,3429,11143,21616,34.0,3429,52.8,Winter,Heavy Rainfall,354.99,39.1
228,Lakshadweep,2021,6,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,25.0,1,0.0,Monsoon,Coastal/Humid,0.73,8.2
229,Madhya Pradesh,2021,40510,1150,383,1934,440,452,6059,2062,5145,4380,4393,2971,2639,4046,3998,3758,3646,4387,4747,4109,2316,2197,4131,7180,8211,8969,9798,5417,3287,3088,0,6105,12480,346,2778,341,224,255,4055,7999,249,1221,296,256,331,208,1920,4481,12480,19728,28491,40.9,12480,48.5,Monsoon,Tropical Wet & Dry,853.58,47.5
230,Maharashtra,2021,58242,1646,256,2104,383,453,7155,1914,2650,2505,2479,1636,1683,2037,2081,2051,2011,2320,2429,2716,1579,1601,2563,3626,4150,4321,5304,3454,3996,3807,87,6021,13911,406,2670,389,111,487,4894,8957,362,1909,198,166,630,390,1299,4954,13911,11938,14660,44.9,13911,51.4,Monsoon,Tropical Wet & Dry,1242.21,46.9
231,Manipur,2021,277,15,3,17,0,1,41,33,33,30,51,36,9,18,16,29,29,25,43,47,14,21,52,45,60,75,69,30,76,21,0,13,110,5,39,0,11,0,25,80,5,14,0,8,0,1,2,30,110,134,232,36.6,110,37.3,Winter,Heavy Rainfall,32.37,8.6
232,Meghalaya,2021,566,22,9,76,0,1,41,38,19,21,27,22,19,17,12,16,25,23,21,22,12,18,25,24,30,58,38,39,118,32,0,37,187,16,58,0,8,19,26,127,7,33,4,3,7,0,6,60,187,107,137,43.9,187,21.9,Monsoon,Heavy Rainfall,32.11,17.6
233,Mizoram,2021,232,14,0,25,1,1,16,7,6,5,7,8,3,8,3,6,2,4,5,7,4,2,9,12,12,12,10,3,23,30,0,11,64,0,41,0,0,5,0,46,0,17,1,0,0,0,0,18,64,19,45,29.7,64,25.0,Monsoon,Heavy Rainfall,12.39,18.7
234,Nagaland,2021,73,7,2,7,0,2,4,1,3,4,5,4,1,1,1,3,2,0,1,0,1,0,5,3,4,5,3,4,10,11,0,2,23,1,15,1,0,0,0,17,0,2,0,0,0,1,3,6,23,8,17,32.0,23,17.4,Summer,Heavy Rainfall,21.89,3.3
235,Odisha,2021,19663,462,171,576,83,194,2440,1155,1100,1030,1098,864,655,824,838,804,830,893,950,1097,544,830,1189,1619,1776,1908,2102,1015,1888,1070,32,2091,5081,121,719,7,164,43,2669,3723,101,76,8,374,6,5,788,1358,5081,4491,6492,40.9,5081,48.0,Monsoon,Tropical Wet & Dry,463.56,42.4
236,Puducherry,2021,917,18,4,44,5,3,48,21,91,97,103,90,37,77,78,84,102,113,72,105,119,127,114,129,132,125,138,165,120,17,0,6,143,46,38,0,0,0,16,100,0,0,0,0,0,0,43,43,143,549,500,52.3,143,33.6,Monsoon,Coastal/Humid,16.73,54.8
237,Punjab,2021,10445,289,81,1140,64,225,1928,789,454,479,514,497,404,438,503,527,513,603,608,557,490,500,666,708,743,962,1135,893,1545,1445,43,1483,4516,309,870,199,94,416,569,2457,200,669,183,164,336,188,319,2059,4516,3018,3079,49.5,4516,42.7,Monsoon,Hot & Dry,303.57,34.4
238,Rajasthan,2021,23197,1326,441,2415,592,177,3595,1497,2143,1907,1986,1683,993,1400,1686,1784,1701,1875,2021,1775,894,1058,2345,2905,3317,4179,4269,1987,3653,1912,18,4460,10043,169,1461,64,19,158,5453,7324,131,720,84,32,323,132,1297,2719,10043,8208,12746,39.2,10043,35.8,Monsoon,Hot & Dry,815.03,28.5
239,Sikkim,2021,233,11,0,42,0,0,5,6,9,17,11,16,11,5,9,11,7,10,11,5,7,8,11,9,17,22,28,20,23,20,0,21,64,2,23,0,0,7,17,49,1,2,2,1,2,4,3,15,64,63,59,51.6,64,7.8,Summer,Alpine/Cold,6.91,33.7
240,Tamil Nadu,2021,28286,1038,551,1998,89,534,8259,2915,5322,5300,5543,4628,2384,3291,4592,4977,4941,4899,4742,5063,1141,2244,6248,8357,8437,10383,14415,4457,5360,5067,2,4955,15384,951,2535,655,1569,913,4041,10664,452,1014,407,944,492,468,943,4720,15384,22257,33425,40.0,15384,53.7,Monsoon,Tropical Wet & Dry,772.34,36.6
241,Telangana,2021,13097,511,68,604,176,390,4082,1726,2068,1821,1849,1578,1346,1605,1662,1869,1662,1948,1874,2033,935,936,2120,3115,3452,4028,4587,2142,2732,864,3,3958,7557,123,1195,71,84,119,3356,4948,166,1184,172,101,124,299,563,2609,7557,8600,12715,40.3,7557,54.0,Monsoon,Tropical Wet & Dry,384.67,34.0
242,Tripura,2021,638,24,1,30,0,19,51,69,46,35,60,47,27,25,30,41,37,36,39,55,4,13,48,85,86,101,101,40,94,61,0,39,194,21,68,8,2,8,35,142,3,18,7,0,7,2,15,52,194,158,320,33.1,194,26.3,Winter,Heavy Rainfall,40.99,15.6
243,Uttar Pradesh,2021,36521,3423,1337,4039,862,1925,7429,2777,3524,2892,2930,2357,2466,2606,2742,2657,2580,2640,3024,3293,3484,3325,3954,4069,4313,5017,5592,3957,7212,5891,965,7724,21792,1455,4176,564,443,725,4931,12294,1178,2969,621,639,649,479,2963,9498,21792,16358,17353,48.5,21792,34.1,Monsoon,Tropical Wet & Dry,2352.88,15.5
244,Uttarakhand,2021,1777,38,16,118,0,12,548,92,143,129,149,92,60,84,117,102,133,111,156,129,107,121,136,198,176,233,261,173,345,172,0,307,824,29,102,24,58,10,312,535,15,65,0,25,5,7,172,289,824,662,743,47.1,824,66.5,Monsoon,Alpine/Cold,115.18,15.4
245,West Bengal,2021,15698,1025,277,1112,120,172,1538,1587,1142,1022,1044,878,722,808,937,968,924,987,1016,1053,841,1014,1208,1740,1680,1893,1915,1210,2111,1400,41,2279,5831,110,785,100,37,119,2542,3693,78,764,46,54,168,86,942,2138,5831,4980,6521,43.3,5831,26.4,Monsoon,Heavy Rainfall,1004.07,15.6
246,Andaman and Nicobar Islands,2022,207,0,7,5,0,0,6,1,10,10,14,17,13,10,6,6,15,14,12,14,6,6,12,15,27,32,20,23,11,2,0,6,19,1,11,0,0,0,2,14,0,0,0,0,0,0,5,5,19,55,86,39.0,19,31.6,Summer,Coastal/Humid,3.97,52.1
247,Andhra Pradesh,2022,16693,659,221,847,89,621,3709,2147,1796,1751,1894,1777,2161,1911,1640,1929,1539,1534,1525,1613,886,1045,2290,3139,3141,3813,4591,2165,3793,1869,0,2631,8293,371,1913,215,298,161,3243,6201,116,657,89,151,59,101,919,2092,8293,8687,12383,41.2,8293,44.7,Monsoon,Tropical Wet & Dry,495.63,33.7
248,Arunachal Pradesh,2022,409,59,1,37,5,0,41,9,23,20,20,12,18,13,27,18,14,17,18,15,11,12,14,25,46,47,36,24,54,16,0,82,152,0,11,0,0,0,59,70,8,19,1,0,0,1,53,82,152,83,132,38.6,152,27.0,Monsoon,Alpine/Cold,15.84,25.8
249,Assam,2022,5057,213,168,537,19,172,1189,762,637,564,610,558,571,488,509,586,574,586,632,713,409,452,903,1063,1143,1156,1133,769,1547,668,0,845,3060,341,826,176,41,116,37,1537,300,500,90,141,276,173,43,1523,3060,2763,4265,39.3,3060,38.9,Monsoon,Heavy Rainfall,351.07,14.4
250,Bihar,2022,16025,213,106,556,473,545,3035,3970,749,760,868,953,1299,1006,902,786,692,857,991,938,485,1117,1602,1700,1405,1784,1865,843,3926,2032,0,2940,8898,340,1274,2258,1543,42,316,5773,183,624,737,738,151,656,36,3125,8898,4310,6491,39.9,8898,34.1,Monsoon,Tropical Wet & Dry,1239.26,12.9
251,Chandigarh,2022,287,0,1,0,0,5,40,37,12,27,24,20,16,24,16,18,31,18,17,15,36,8,16,18,25,36,35,64,9,0,0,74,83,0,0,0,0,0,0,0,4,5,2,0,10,8,54,83,83,143,95,60.1,83,48.2,Monsoon,Hot & Dry,11.58,24.8
252,Chhattisgarh,2022,16893,408,76,455,160,40,3606,1145,1241,1194,1069,1100,1205,1133,1032,1012,880,1025,1156,1044,442,493,1099,1875,2059,2500,3215,1408,1861,1001,0,3028,5890,185,1166,82,56,94,2964,4547,121,469,87,19,42,149,456,1343,5890,5558,7533,42.5,5890,61.2,Monsoon,Tropical Wet & Dry,292.36,57.8
253,Dadra and Nagar Haveli and Daman and Diu,2022,309,1,1,7,0,3,42,26,9,6,16,14,12,15,13,23,14,13,17,23,8,1,15,27,17,37,44,26,1,33,0,46,80,5,37,3,2,6,4,57,1,11,0,0,0,7,4,23,80,79,96,45.1,80,52.5,Monsoon,Coastal/Humid,6.86,45.0
254,Delhi,2022,3648,89,36,316,3,73,631,313,416,420,446,516,476,458,483,453,414,489,480,509,626,528,609,667,776,692,828,834,157,129,0,1175,1461,1,20,0,0,2,26,49,65,323,31,56,105,92,740,1412,1461,2816,2744,50.6,1461,43.2,Monsoon,Hot & Dry,190.14,19.2
255,Goa,2022,696,4,3,26,1,0,180,60,260,251,275,242,324,239,238,182,234,251,232,284,286,152,260,393,471,457,619,374,121,37,0,116,274,14,144,10,6,11,38,223,8,21,1,5,2,0,14,51,274,1431,1581,47.5,274,65.7,Monsoon,Heavy Rainfall,15.86,43.9
256,Gujarat,2022,22410,569,99,1236,64,411,3754,1501,1356,1365,1358,1386,1530,1343,1065,1141,1160,1406,1259,1408,957,817,1727,2333,2477,2596,3167,1703,2029,2163,64,3378,7634,156,1064,96,26,361,3601,5304,152,727,68,72,283,284,744,2330,7634,6644,9133,42.1,7634,49.2,Monsoon,Hot & Dry,709.04,31.6
257,Haryana,2022,16041,277,103,660,53,153,2182,1800,739,811,1020,950,953,804,886,857,862,900,867,1005,1048,801,1217,1330,1250,1554,2153,1301,2083,922,107,2116,5228,223,588,179,64,165,1821,3040,124,424,80,65,238,138,1119,2188,5228,5303,5351,49.8,5228,41.7,Monsoon,Hot & Dry,283.57,56.6
258,Himachal Pradesh,2022,2834,121,41,473,21,17,240,66,163,160,195,219,207,231,186,217,247,235,200,224,156,169,211,299,364,426,548,311,393,214,0,372,979,40,446,36,38,58,23,641,8,250,14,11,23,32,0,338,979,1184,1300,47.7,979,24.5,Monsoon,Alpine/Cold,73.31,38.7
259,Jammu and Kashmir,2022,1786,119,89,292,30,13,213,148,334,445,532,544,706,598,620,525,523,608,480,443,130,239,774,1215,1440,1269,971,320,424,100,0,380,904,23,169,21,10,23,314,560,31,118,8,5,14,17,151,344,904,1660,4698,26.1,904,23.6,Monsoon,Alpine/Cold,133.06,13.4
260,Jharkhand,2022,7772,276,102,473,40,660,1929,418,393,417,433,430,492,423,454,391,379,429,444,490,330,390,686,769,823,933,833,411,1699,812,0,1387,3898,343,747,525,690,421,153,2879,158,278,165,158,164,81,15,1019,3898,1964,3211,38.0,3898,49.5,Monsoon,Tropical Wet & Dry,382.93,20.3
261,Karnataka,2022,29090,747,297,1545,113,408,5742,2853,3225,3318,3506,3313,3635,3308,3006,3118,2962,3358,3372,3644,2246,3119,4018,5628,5780,6233,7424,5317,4201,3276,0,4228,11705,301,883,216,180,180,6220,7980,303,647,98,141,154,444,1938,3725,11705,18106,21659,45.5,11705,49.1,Monsoon,Tropical Wet & Dry,673.62,43.2
262,Kerala,2022,15119,245,160,586,14,280,2042,990,3862,3350,3781,3626,3673,3668,3283,3318,3542,3628,3817,4044,1021,1426,5240,7790,6613,8543,9089,3870,1281,1050,0,1986,4317,269,1679,242,82,70,688,3030,200,550,110,103,83,97,144,1287,4317,15406,28186,35.3,4317,47.3,Monsoon,Heavy Rainfall,354.99,42.6
263,Lakshadweep,2022,8,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,50.0,2,100.0,Winter,Coastal/Humid,0.73,11.0
264,Madhya Pradesh,2022,43726,1336,380,2064,482,598,6669,2389,4621,4369,4636,4559,5179,4282,3921,3951,3636,4308,4527,3976,2935,2234,4560,7508,8837,9568,9907,6416,3673,3509,0,6736,13918,338,3123,340,210,312,4599,8922,309,1525,308,231,359,530,1734,4996,13918,21492,30473,41.4,13918,47.9,Monsoon,Tropical Wet & Dry,853.58,51.2
265,Maharashtra,2022,66656,1651,320,2305,302,630,8199,2341,2581,2551,2665,2577,2956,2667,2230,2191,2103,2443,2826,2756,2010,1876,2829,4100,4467,5218,6095,3951,4833,4098,88,6729,15748,596,2886,321,279,569,5033,9684,511,2485,284,188,512,600,1484,6064,15748,13932,16614,45.6,15748,52.1,Monsoon,Tropical Wet & Dry,1242.21,53.7
266,Manipur,2022,353,13,11,19,0,4,38,42,33,37,56,32,33,44,49,33,40,57,50,44,17,3,48,96,67,91,117,69,71,21,0,35,127,2,45,1,10,2,20,80,8,19,0,11,0,6,3,47,127,206,302,40.6,127,29.9,Monsoon,Heavy Rainfall,32.37,10.9
267,Meghalaya,2022,590,28,7,57,1,9,50,10,21,27,21,22,26,20,16,17,20,15,17,24,13,9,24,48,29,51,41,31,88,26,0,48,162,17,61,11,16,3,4,112,3,35,2,4,5,0,1,50,162,94,152,38.2,162,30.9,Monsoon,Heavy Rainfall,32.11,18.4
268,Mizoram,2022,319,26,0,31,1,13,10,2,10,9,4,6,7,6,4,3,6,4,4,8,1,3,14,15,18,6,13,1,50,31,0,2,83,1,59,0,0,0,0,60,0,23,0,0,0,0,0,23,83,18,53,25.4,83,12.0,Winter,Heavy Rainfall,12.39,25.7
269,Nagaland,2022,55,8,0,6,0,7,0,1,4,2,3,4,1,1,1,2,1,4,0,1,3,1,6,4,3,2,2,3,13,5,0,4,22,0,12,0,0,0,5,17,1,2,0,0,0,2,0,5,22,9,15,37.5,22,0.0,Summer,Heavy Rainfall,21.89,2.5
270,Odisha,2022,21013,494,134,617,0,181,2384,1660,943,827,1065,929,1112,1025,894,867,840,896,1099,1166,629,741,1252,1753,1767,2112,2279,1130,1998,1272,50,2150,5470,142,283,2,339,278,1345,2389,156,424,3,469,13,891,1125,3081,5470,4779,6884,41.0,5470,43.6,Monsoon,Tropical Wet & Dry,463.56,45.3
271,Puducherry,2022,1064,35,7,19,2,3,85,30,90,112,93,82,109,93,92,86,104,109,109,102,32,35,144,157,199,202,261,151,71,10,0,100,181,61,46,0,0,0,39,146,0,0,0,0,0,0,35,35,181,479,702,40.6,181,47.0,Monsoon,Coastal/Humid,16.73,63.6
272,Punjab,2022,11126,207,57,1101,70,149,2099,1005,432,421,548,522,488,484,485,531,471,578,565,597,383,450,721,737,850,949,1140,892,1590,1272,27,1799,4688,308,1109,174,87,221,780,2679,210,569,158,131,245,157,539,2009,4688,2865,3257,46.8,4688,44.8,Monsoon,Hot & Dry,303.57,36.7
273,Rajasthan,2022,26449,1215,339,2577,561,199,4062,2150,1958,1957,2012,1980,2217,1978,1847,1733,1900,2102,2156,1780,933,902,2534,3379,3811,4496,5147,2418,3997,2395,29,4682,11103,220,2040,60,24,190,5214,7748,127,802,53,81,255,180,1857,3355,11103,9400,14220,39.8,11103,36.6,Monsoon,Hot & Dry,815.03,32.5
274,Sikkim,2022,310,39,1,40,0,0,8,10,14,16,21,19,20,22,12,22,8,11,18,16,18,9,17,28,29,37,40,21,28,25,0,45,98,1,42,3,0,0,39,85,0,4,0,1,0,0,8,13,98,88,111,44.2,98,8.2,Monsoon,Alpine/Cold,6.91,44.9
275,Tamil Nadu,2022,29115,251,213,1051,81,267,11140,4881,4972,5115,5771,5305,5546,5704,5518,5560,5321,5628,4515,5150,1624,2737,7397,9202,9107,11506,16285,6247,5978,6364,0,5542,17884,598,2209,506,1068,792,7574,12747,286,780,180,1004,604,100,2183,5137,17884,26893,37212,42.0,17884,62.3,Monsoon,Tropical Wet & Dry,772.34,37.7
276,Telangana,2022,12710,397,98,588,221,334,3977,1944,1754,1894,1819,1678,2009,1908,1657,1657,1525,1737,1859,2122,1094,952,2163,2988,3312,4051,4544,2515,3006,820,4,3729,7559,294,1143,64,118,55,3182,4856,132,796,278,123,116,401,857,2703,7559,9105,12514,42.1,7559,52.6,Monsoon,Tropical Wet & Dry,384.67,33.0
277,Tripura,2022,635,21,2,18,0,14,92,94,60,42,55,49,41,42,53,52,48,48,46,39,12,16,54,104,93,100,123,73,105,77,0,59,241,9,123,4,10,4,15,165,6,47,2,0,2,0,19,76,241,224,351,39.0,241,38.2,Monsoon,Heavy Rainfall,40.99,15.5
278,Uttar Pradesh,2022,42930,4109,1744,4337,1015,1658,8305,2941,3486,2896,3058,2945,3228,3006,3006,2789,2568,2817,3389,3687,3941,3886,3937,4299,4580,5213,6154,4865,8236,6070,1310,8493,24109,1770,4934,686,347,788,5488,14013,1354,2866,487,479,705,691,3514,10096,24109,18846,18029,51.1,24109,34.4,Monsoon,Tropical Wet & Dry,2352.88,18.2
279,Uttarakhand,2022,2675,73,58,259,10,23,421,198,110,101,148,158,140,163,140,143,116,145,150,160,122,141,207,244,235,248,243,234,464,296,0,282,1042,38,261,24,30,10,183,546,42,286,13,50,31,7,67,496,1042,740,934,44.2,1042,40.4,Monsoon,Alpine/Cold,115.18,23.2
280,West Bengal,2022,15494,1184,329,946,125,211,1754,1239,868,816,904,858,895,882,884,839,884,963,913,929,838,910,1193,1523,1495,1556,1699,1421,1882,1388,101,2417,5788,274,1406,59,42,114,2056,3951,87,564,54,25,96,51,960,1837,5788,4868,5767,45.8,5788,30.3,Monsoon,Heavy Rainfall,1004.07,15.4
